  *** Project Runge-Kutt ***
  ****** Input  maximum steps i_max:
1000
   h= 5.00500482E-03     t_max=5.00000000        i_max= 1000
   p2= 7.00000000        Beta=1.00000000         Kappa=   6.00000000        x0=  0.100000001    
 _________________________________________________
     i             t               K(t)    (p2-Beta/Kappa*x)      x(t)
           1   5.00500482E-03   3.26006007       6.96422291      0.214661866    
           2   1.00100096E-02   3.32012010       6.94481707      0.331097603    
           3   1.50150144E-02   3.38018012       6.92511845      0.449290663    
           4   2.00200193E-02   3.44024038       6.90512943      0.569224238    
           5   2.50250250E-02   3.50030041       6.88485336      0.690881252    
           6   3.00300308E-02   3.56036043       6.86429262      0.814244509    
           7   3.50350365E-02   3.62042046       6.84345055      0.939296544    
           8   4.00400423E-02   3.68048048       6.82233000       1.06601977    
           9   4.50450480E-02   3.74054050       6.80093384       1.19439626    
          10   5.00500537E-02   3.80060077       6.77926540       1.32440805    
          11   5.50550595E-02   3.86066079       6.75732708       1.45603693    
          12   6.00600652E-02   3.92072082       6.73512268       1.58926451    
          13   6.50650710E-02   3.98078084       6.71265459       1.72407210    
          14   7.00700730E-02   4.04084110       6.68992662       1.86044109    
          15   7.50750750E-02   4.10090113       6.66694117       1.99835253    
          16   8.00800771E-02   4.16096115       6.64370203       2.13778734    
          17   8.50850791E-02   4.22102070       6.62021255       2.27872610    
          18   9.00900811E-02   4.28108120       6.59647512       2.42114949    
          19   9.50950831E-02   4.34114075       6.57249355       2.56503797    
          20  0.100100085       4.40120125       6.54827118       2.71037173    
          21  0.105105087       4.46126080       6.52381134       2.85713100    
          22  0.110110089       4.52132130       6.49911737       3.00529575    
          23  0.115115091       4.58138084       6.47419214       3.15484595    
          24  0.120120093       4.64144135       6.44903994       3.30576134    
          25  0.125125095       4.70150089       6.42366314       3.45802140    
          26  0.130130097       4.76156139       6.39806557       3.61160564    
          27  0.135135099       4.82162094       6.37225103       3.76649332    
          28  0.140140101       4.88168144       6.34622288       3.92266369    
          29  0.145145103       4.94174099       6.31998396       4.08009624    
          30  0.150150105       5.00180149       6.29353857       4.23876953    
          31  0.155155107       5.06186104       6.26688957       4.39866304    
          32  0.160160109       5.12192154       6.24004078       4.55975533    
          33  0.165165111       5.18198109       6.21299601       4.72202492    
          34  0.170170113       5.24204159       6.18575811       4.88545084    
          35  0.175175115       5.30210114       6.15833139       5.05001163    
          36  0.180180117       5.36216164       6.13071918       5.21568537    
          37  0.185185120       5.42222118       6.10292482       5.38245106    
          38  0.190190122       5.48228168       6.07495213       5.55028677    
          39  0.195195124       5.54234123       6.04680490       5.71917105    
          40  0.200200126       5.60240173       6.01848650       5.88908195    
          41  0.205205128       5.66246128       5.99000025       6.05999756    
          42  0.210210130       5.72252178       5.96135044       6.23189640    
          43  0.215215132       5.78258133       5.93254042       6.40475655    
          44  0.220220134       5.84264183       5.90357399       6.57855606    
          45  0.225225136       5.90270138       5.87445450       6.75327253    
          46  0.230230138       5.96276188       5.84518576       6.92888451    
          47  0.235235140       6.02282143       5.81577158       7.10536957    
          48  0.240240142       6.08288193       5.78621578       7.28270626    
          49  0.245245144       6.14294147       5.75652122       7.46087217    
          50  0.250250161       6.20300198       5.72669220       7.63984537    
          51  0.255255163       6.26306200       5.69673252       7.81960344    
          52  0.260260165       6.32312202       5.66664600       8.00012493    
          53  0.265265167       6.38318205       5.63643551       8.18138695    
          54  0.270270169       6.44324207       5.60610533       8.36336803    
          55  0.275275171       6.50330210       5.57565880       8.54604530    
          56  0.280280173       6.56336212       5.54510021       8.72939777    
          57  0.285285175       6.62342215       5.51443291       8.91340351    
          58  0.290290177       6.68348217       5.48365974       9.09803963    
          59  0.295295179       6.74354219       5.45278597       9.28328419    
          60  0.300300181       6.80360222       5.42181396       9.46911621    
          61  0.305305183       6.86366224       5.39074802       9.65551281    
          62  0.310310185       6.92372227       5.35959101       9.84245300    
          63  0.315315187       6.98378229       5.32834768       10.0299139    
          64  0.320320189       7.04384232       5.29702091       10.2178745    
          65  0.325325191       7.10390234       5.26561451       10.4063129    
          66  0.330330193       7.16396236       5.23413181       10.5952072    
          67  0.335335195       7.22402191       5.20257711       10.7845364    
          68  0.340340197       7.28408241       5.17095375       10.9742785    
          69  0.345345199       7.34414196       5.13926458       11.1644125    
          70  0.350350201       7.40420246       5.10751390       11.3549166    
          71  0.355355203       7.46426201       5.07570505       11.5457697    
          72  0.360360205       7.52432251       5.04384136       11.7369499    
          73  0.365365207       7.58438206       5.01192713       11.9284372    
          74  0.370370209       7.64444256       4.97996521       12.1202097    
          75  0.375375211       7.70450211       4.94795895       12.3122463    
          76  0.380380213       7.76456261       4.91591215       12.5045271    
          77  0.385385215       7.82462215       4.88382816       12.6970301    
          78  0.390390217       7.88468266       4.85171080       12.8897352    
          79  0.395395219       7.94474220       4.81956291       13.0826216    
          80  0.400400221       8.00480270       4.78738832       13.2756691    
          81  0.405405223       8.06486225       4.75519037       13.4688578    
