	***	Project	Runge-Kutt	***				
	******	Input	maximum	steps	i_max:			
9								
	h=	0.625	t_max=	5	i_max=	9		
	p2=	7	Beta=	1	Kappa=	6	x0=	0.100000001
	_________________________________________________							
	i	t	K(t)	(p2-Beta/Kappa*x)	x(t)			
	1	0.625	10.6999998	1.80501795	31.1698914			
	2	1.25	18.2000008	0.660490036	38.0370598			
	3	1.875	25.7000008	0.804539204	37.1727638			
	4	2.5	33.2000008	2.87069893	24.7758064			
	5	3.125	40.7000008	24.5206051	-105.123627			
	6	3.75	48.2000008	432.468567	-2552.81128			
	7	4.375	55.7000008	14152.375	-84872.25			
	8	5	63.2000008	793212	-4759230			
	9	5.625	70.6999969	71565784	-429394624			
